Date,Open,High,Low,Close,Adj Close,Volume
2019-03-11,35.299999,36.000000,32.250000,33.200001,33.200001,39
2019-03-12,35.000000,37.849998,33.450001,36.000000,36.000000,155
2019-03-13,36.000000,36.750000,36.000000,36.750000,36.750000,9
2019-03-14,37.599998,38.000000,34.000000,36.950001,36.950001,355
2019-03-15,36.950001,38.000000,35.000000,35.450001,35.450001,273
2019-03-18,37.750000,37.750000,32.700001,36.950001,36.950001,142
2019-03-19,32.500000,37.799999,31.200001,35.250000,35.250000,448
2019-03-20,34.500000,37.000000,34.500000,37.000000,37.000000,169
2019-03-22,37.000000,37.000000,37.000000,37.000000,37.000000,100
2019-03-25,33.049999,36.000000,33.049999,35.950001,35.950001,1859
2019-03-26,37.500000,37.500000,35.099998,35.500000,35.500000,487
2019-03-27,36.000000,36.500000,35.150002,35.750000,35.750000,1305
2019-03-28,35.900002,37.000000,35.049999,35.049999,35.049999,1190
2019-04-01,30.549999,39.500000,30.549999,37.950001,37.950001,89
2019-04-02,37.750000,38.150002,35.099998,36.650002,36.650002,286
2019-04-03,35.150002,37.950001,35.150002,37.849998,37.849998,39
2019-04-04,37.849998,37.849998,37.849998,37.849998,37.849998,0
2019-04-05,38.450001,38.450001,35.000000,38.000000,38.000000,753
2019-04-08,35.099998,39.000000,34.299999,34.549999,34.549999,1205
2019-04-09,34.500000,36.900002,34.500000,35.349998,35.349998,4033
2019-04-10,35.000000,35.000000,33.150002,34.650002,34.650002,413
2019-04-11,34.000000,35.900002,34.000000,34.000000,34.000000,828
2019-04-12,33.650002,37.400002,33.650002,34.900002,34.900002,15
2019-04-15,35.950001,37.200001,31.900000,34.200001,34.200001,4177
2019-04-16,37.349998,37.349998,35.500000,36.650002,36.650002,1591
2019-04-18,35.900002,35.900002,34.000000,34.849998,34.849998,980
2019-04-22,36.650002,36.650002,33.799999,34.299999,34.299999,90
2019-04-23,35.000000,35.000000,33.799999,34.000000,34.000000,237
2019-04-24,34.500000,34.950001,34.500000,34.950001,34.950001,7
2019-04-25,36.000000,36.000000,33.500000,33.500000,33.500000,104
2019-04-26,34.500000,34.500000,34.049999,34.049999,34.049999,781
2019-04-30,33.900002,34.900002,32.750000,32.900002,32.900002,1581
2019-05-02,34.849998,34.849998,34.849998,34.849998,34.849998,20
2019-05-03,33.799999,35.000000,33.799999,35.000000,35.000000,13
2019-05-06,35.000000,35.000000,35.000000,35.000000,35.000000,1
2019-05-07,31.850000,33.849998,31.750000,33.849998,33.849998,2104
2019-05-08,33.849998,33.849998,33.849998,33.849998,33.849998,0
2019-05-09,33.500000,34.000000,32.000000,32.099998,32.099998,489
2019-05-10,32.099998,32.099998,32.099998,32.099998,32.099998,0
2019-05-13,32.099998,32.099998,32.099998,32.099998,32.099998,0
2019-05-14,32.400002,32.950001,31.000000,32.950001,32.950001,126
2019-05-15,33.799999,36.200001,33.549999,35.299999,35.299999,7
2019-05-16,31.799999,34.950001,31.799999,34.950001,34.950001,34
2019-05-17,36.200001,36.200001,36.200001,36.200001,36.200001,11
2019-05-20,36.200001,36.200001,36.200001,36.200001,36.200001,0
2019-05-21,36.200001,36.200001,36.200001,36.200001,36.200001,0
2019-05-22,32.599998,33.000000,32.599998,33.000000,33.000000,101
2019-05-23,29.850000,34.250000,29.850000,33.900002,33.900002,300
2019-05-24,32.000000,34.349998,32.000000,34.349998,34.349998,650
2019-05-27,32.299999,34.000000,32.299999,32.299999,32.299999,475
2019-05-28,31.299999,34.900002,30.400000,32.099998,32.099998,2053
2019-05-29,31.150000,32.000000,31.049999,31.049999,31.049999,110
2019-05-30,31.049999,31.049999,31.049999,31.049999,31.049999,0
2019-05-31,31.049999,31.049999,31.049999,31.049999,31.049999,30
2019-06-03,31.049999,31.049999,31.049999,31.049999,31.049999,0
2019-06-04,31.049999,33.299999,31.049999,32.450001,32.450001,1052
2019-06-06,34.950001,34.950001,30.500000,33.500000,33.500000,541
2019-06-07,33.450001,33.450001,33.450001,33.450001,33.450001,22
2019-06-10,32.500000,32.500000,32.500000,32.500000,32.500000,11
2019-06-11,32.000000,33.000000,31.000000,32.750000,32.750000,311
2019-06-12,32.000000,32.000000,31.000000,31.049999,31.049999,466
2019-06-13,31.700001,31.700001,31.000000,31.000000,31.000000,20
2019-06-14,32.000000,32.000000,31.000000,31.000000,31.000000,489
2019-06-17,30.500000,31.150000,30.100000,30.350000,30.350000,2240
2019-06-18,31.000000,32.799999,31.000000,32.150002,32.150002,8
2019-06-19,32.000000,32.000000,30.049999,30.100000,30.100000,1556
2019-06-20,32.900002,32.900002,32.900002,32.900002,32.900002,2
2019-06-21,32.900002,32.900002,32.900002,32.900002,32.900002,0
2019-06-24,32.900002,32.900002,32.900002,32.900002,32.900002,0
2019-06-25,32.900002,32.900002,32.900002,32.900002,32.900002,0
2019-06-26,32.900002,32.900002,32.900002,32.900002,32.900002,0
2019-06-27,30.000000,30.049999,29.650000,29.650000,29.650000,554
2019-06-28,32.549999,32.549999,32.549999,32.549999,32.549999,2
2019-07-01,32.500000,32.500000,30.000000,30.000000,30.000000,2220
2019-07-02,30.299999,30.299999,29.000000,29.000000,29.000000,2
2019-07-03,30.500000,30.500000,27.500000,27.500000,27.500000,180
2019-07-04,27.500000,27.500000,27.500000,27.500000,27.500000,0
2019-07-05,26.700001,26.700001,26.700001,26.700001,26.700001,20
2019-07-08,27.500000,27.700001,26.700001,26.900000,26.900000,20
2019-07-09,25.900000,25.900000,25.900000,25.900000,25.900000,7
2019-07-10,25.900000,25.900000,25.900000,25.900000,25.900000,0
2019-07-11,25.900000,25.900000,25.900000,25.900000,25.900000,0
2019-07-12,24.049999,24.049999,24.000000,24.049999,24.049999,20
2019-07-15,24.049999,24.049999,24.049999,24.049999,24.049999,0
2019-07-16,24.049999,24.049999,24.049999,24.049999,24.049999,0
2019-07-17,22.850000,26.450001,22.850000,24.799999,24.799999,2230
2019-07-18,24.950001,27.250000,24.350000,26.650000,26.650000,255
2019-07-19,27.000000,27.000000,24.900000,25.100000,25.100000,216
2019-07-22,24.900000,25.450001,24.049999,25.250000,25.250000,78
2019-07-23,24.950001,24.950001,23.850000,24.200001,24.200001,178
2019-07-24,24.500000,24.500000,24.500000,24.500000,24.500000,5
2019-07-25,24.500000,25.000000,23.250000,23.950001,23.950001,156
2019-07-26,26.250000,26.250000,26.250000,26.250000,26.250000,45
2019-07-29,24.400000,24.850000,24.100000,24.549999,24.549999,40
2019-07-30,24.400000,24.500000,23.250000,23.799999,23.799999,140
2019-07-31,23.799999,23.799999,23.450001,23.700001,23.700001,13
2019-08-01,24.750000,24.750000,22.250000,22.850000,22.850000,263
2019-08-02,24.000000,24.000000,22.900000,22.900000,22.900000,84
2019-08-05,22.900000,22.900000,20.900000,21.700001,21.700001,78
